id,name,count
1,¥kland,70
2,AJ,137
3,Altibox,331
4,bama,298
5,Borregaard,224
6,bouvet,183
7,Cegal,57
8,Consto,130
9,coop,1328
10,DNB,379
11,Equinor,91
12,fjordkraft,171
13,Frydenb¢,239
14,gjensidige,57
15,Kiwi,324
16,Lyse,384
17,NorskTipping,422
18,OBOS,975
19,Santander,0
20,Pretec,369
21,Scandic,333
22,Sparebank1 group,64
23,Sparebank1NordNorge,296
24,SpareBank1SMN,271
25,Sparebanken M¢re,442
26,SparebankenVest,121
27,SpareBankSR,26
28,sundolitt,139
29,Telenor,143
30,Tine,108
31,Vaerste,92
32,vanpee,157
